"DATE","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","Month","Formatted.Data"
1976,-3.23666426993441e-10,-1.49168499774532e-09,9.2086338554509e-11,-8.9667082647793e-09,-5.00790520163719e-09,1.73258740687743e-10,-1.1122466503366e-08,-1.27147359307855e-09,-2.93529751616006e-08,-2.20265974348877e-08,-2.67737050307915e-07,-7.35599883228133e-08,-3.46136857842794e-07,-2.17340243580111e-07,-5.84353983867913e-07,"January",5.30781107954681e-09
1976,4.3826275941683e-10,9.56106305238791e-10,-1.37674760480877e-10,5.70645397601766e-09,3.17913873004727e-09,-1.83149495569523e-10,7.25700033399335e-09,7.98308974481188e-10,1.91534468285681e-08,1.41545797305298e-08,1.69292434293311e-07,4.6975088707768e-08,2.19420599023579e-07,1.38963400786452e-07,3.71916939911898e-07,"February",-6.13363226875663e-09
1976,-5.19094101036899e-10,-2.27373675443232e-10,1.68597580341157e-10,-1.09560005512321e-09,-6.00039129494689e-10,1.4631496014772e-10,-1.88271087608882e-09,-1.76441972143948e-10,-4.91257878820761e-09,-3.22484083881136e-09,-3.45701209880644e-08,-1.04681134871498e-08,-4.57789610663895e-08,-3.10832319883048e-08,-8.04443516244646e-08,"March",5.19503373652697e-09
1976,5.23300514032599e-10,-5.14035036758287e-10,-1.65073288371786e-10,-3.6781671042263e-09,-2.05932337848935e-09,-6.22435436525848e-11,-3.61507090929081e-09,-3.9534597817692e-10,-9.76319824985694e-09,-7.90487320045941e-09,-1.01466866908595e-07,-2.66566644313571e-08,-1.29899945022771e-07,-7.88089664638392e-08,-2.15061845665332e-07,"April",-2.56022758549079e-09
1976,-4.3053205445176e-10,1.01618979897466e-09,1.17438503366429e-10,6.89021817379398e-09,3.85944076697342e-09,-3.04680725093931e-11,7.30375404600636e-09,7.39419192541391e-10,1.9696642539202e-08,1.52988377521979e-08,1.91957497008843e-07,5.15653653110348e-08,2.47044681600528e-07,1.52654138219077e-07,4.12547706218902e-07,"May",-5.10226527694613e-10
1976,2.69892552751116e-10,-1.04486730378994e-09,-3.75166564481333e-11,-7.03738578522461e-09,-4.0349732444156e-09,7.4919626058545e-11,-7.5967534485244e-09,-7.8296125138877e-10,-2.05053538593347e-08,-1.58048578668968e-08,-1.99308715309598e-07,-5.36012407792441e-08,-2.56692146649584e-07,-1.58714215103828e-07,-4.28555267717456e-07,"June",2.43107933783904e-09
1976,-1.04023456515279e-10,5.34953414899064e-10,-4.60431692772545e-11,3.77923470296082e-09,2.4456312530674e-09,-4.0870418160921e-11,4.18557988268731e-09,5.68206814932637e-10,1.12605675894883e-08,8.89156126504531e-09,1.16691353468923e-07,3.05950038637093e-08,1.49686911754543e-07,9.04419721337035e-08,2.46911895374069e-07,"July",-2.59933585766703e-09
1976,-1.7166712495964e-11,2.7930013857258e-10,1.04932951217052e-10,1.37123379317927e-09,1.46428646985441e-10,-4.93400875711814e-11,1.31873889586132e-09,-2.25440999201965e-10,3.65963614967768e-09,2.1726691556978e-09,1.7002548702294e-08,6.61049170957995e-09,2.35486368183047e-08,1.99561327463016e-08,4.67753125121817e-08,"August",1.77078618435189e-09
1976,8.8220986071974e-11,-9.87569137578248e-10,-1.22554411063902e-10,-5.87135673413286e-09,-2.49860931944568e-09,1.4210854715202e-10,-6.28770635557885e-09,-9.93622961686924e-11,-1.70447265190887e-08,-1.21443690659362e-08,-1.37984443426831e-07,-4.01450961362571e-08,-1.80177266884129e-07,-1.1932911547774e-07,-3.11767962557497e-07,"September",-1.18780008051544e-09
1976,-1.33127286972012e-10,1.32561694954347e-09,9.64064383879304e-11,8.12929101812188e-09,3.81874087906908e-09,-1.96052951650927e-10,9.11555275706633e-09,3.35148797603324e-10,2.44860984821571e-08,1.78126811078982e-08,2.05844344236539e-07,5.89275543916301e-08,2.67933046416147e-07,1.74743490788387e-07,4.60061073681572e-07,"October",1.56160240294412e-09
1976,1.60298441187479e-10,-1.33164235194272e-09,-4.36557456851006e-11,-8.42442204884719e-09,-4.18935997004155e-09,2.04124717129162e-10,-1.00694990123884e-08,-4.99539964948781e-10,-2.67460222858062e-08,-1.96793052964495e-08,-2.25801159103867e-07,-6.46785736080346e-08,-2.93829998554429e-07,-1.91386789083481e-07,-5.04465788253583e-07,"November",-2.76941136689857e-09
1976,-1.46201273309998e-10,1.17694298751303e-09,4.09272615797818e-12,7.77947661845246e-09,4.04224920202978e-09,-1.82581061380915e-10,1.00167483196856e-08,6.11180439591408e-10,2.62823505181586e-08,1.94723952517961e-08,2.20514266402461e-07,6.35789376701723e-08,2.87141574517591e-07,1.87727096090384e-07,4.94292635266902e-07,"December",4.15820977650583e-09
1977,7.56017470848747e-11,-9.24615051189903e-10,-1.70530256582424e-11,-6.41574615656282e-09,-3.44448380928952e-09,1.46030743053416e-10,-8.86316797732434e-09,-6.15727913100272e-10,-2.29493366532552e-08,-1.70608700500452e-08,-1.90924993148656e-07,-5.5454506764363e-08,-2.4872861104086e-07,-1.63370714290068e-07,-4.29596639150986e-07,"January",-5.07861841470003e-09
1977,1.54614099301398e-11,5.23328935742029e-10,8.06039679446258e-11,3.81197651222465e-09,2.14436113310512e-09,-9.41327016334981e-11,5.81815129407914e-09,4.3689851736417e-10,1.46793581734528e-08,1.09534994408023e-08,1.18810476124054e-07,3.50657103354024e-08,1.54906047100667e-07,1.02909098131931e-07,2.69539214059478e-07,"February",5.30508259544149e-09
1977,-5.85487214266323e-11,-2.35900188272353e-12,-1.43586476042401e-10,-1.13857367978198e-10,-2.61479726759717e-10,2.36468622460961e-11,-1.07934283732902e-09,-9.62927515502088e-11,-2.03175432034186e-09,-1.60684976435732e-09,-7.72433850215748e-09,-3.5724383451452e-09,-1.04982973425649e-08,-9.84050529950764e-09,-2.28046701522544e-08,"March",-5.0022208597511e-09
1977,1.26192389870994e-11,-4.34368985224864e-10,1.52908796735574e-10,-3.2195544008573e-09,-1.40721567731816e-09,5.04769559483975e-11,-3.45639250554086e-09,-2.55852228292497e-10,-9.92071136352024e-09,-7.19933268555906e-09,-9.61790647124872e-08,-2.62167816345027e-08,-1.24764937936561e-07,-7.8030666372797e-08,-2.09228801395511e-07,"April",4.34101821156219e-09
1977,1.0550138540566e-10,5.49476908418001e-10,-1.05842445918825e-10,4.45754722022684e-09,1.94063431990799e-09,-9.83391146291979e-11,5.48922685084108e-09,4.39285940956324e-10,1.51044332596939e-08,1.09504298961838e-08,1.35463551487192e-07,3.86563385745831e-08,1.76861703948816e-07,1.14676026896632e-07,3.01917680189945e-07,"May",-3.36240191245452e-09
1977,-2.41811903833877e-10,-2.57557530858321e-10,4.54747350886464e-11,-2.91856849798933e-09,-1.00271790870465e-09,1.0271605788148e-10,-4.00382305087987e-09,-3.6015990190208e-10,-1.09060351860535e-08,-7.72058683651267e-09,-8.62410161062144e-08,-2.70445070782444e-08,-1.14818703877972e-07,-8.04557203082368e-08,-2.02705905394396e-07,"June",2.21916707232594e-09
1977,3.45494299835991e-10,-3.29379190588952e-10,-7.95807864051312e-12,-7.45103534427471e-10,-1.00340002973098e-09,-7.38964445190504e-11,-2.60826027442818e-10,5.91171556152403e-11,-6.6899019657285e-10,-9.41781763685867e-10,-2.93248376692645e-08,-3.25519522448303e-09,-3.3364358387189e-08,-8.85017925611464e-09,-4.31164153269492e-08,"July",-1.15960574476048e-09
1977,-3.96312316297553e-10,9.61222212936264e-10,-9.09494701772928e-12,4.93923835165333e-09,3.1866420613369e-09,3.66640051652212e-11,5.28638111063628e-09,3.01724867313169e-10,1.42496787702839e-08,1.09911297840881e-08,1.58346210810123e-07,3.83687392968568e-08,1.99824626179179e-07,1.12443899524806e-07,3.22962023346918e-07,"August",1.24600774142891e-10
1977,4.04725142288953e-10,-1.34690480990685e-09,2.29647412197664e-11,-7.67363417253364e-09,-4.51018422609195e-09,-1.31876731757075e-11,-8.55973780744534e-09,-5.05679054185748e-10,-2.31148646889778e-08,-1.74478600456496e-08,-2.39365363086108e-07,-6.12632220509113e-08,-3.04918557958445e-07,-1.80107917913119e-07,-5.02103830513079e-07,"September",1.23691279441118e-09
1977,-3.92788024328183e-10,1.304982788497e-09,-3.39923644787632e-11,7.54903339839075e-09,4.3053205445176e-09,1.66551217262167e-11,8.34245383884991e-09,4.12910594604909e-10,2.26033876060683e-08,1.69042095876648e-08,2.31921148952097e-07,6.01564522639819e-08,2.95897280011559e-07,1.77042579707631e-07,4.89564627059735e-07,"October",-2.89674062514678e-09
1977,3.78690856450703e-10,-9.07846242625965e-10,2.96722646453418e-11,-4.90865659230622e-09,-2.81488610198721e-09,-4.75210981676355e-11,-5.06406649947166e-09,-8.77662387210876e-11,-1.38952600536868e-08,-1.02747890196042e-08,-1.47866103361594e-07,-3.79163225261436e-08,-1.87987552635605e-07,-1.11720964923734e-07,-3.09810729959281e-07,"November",4.0618033381179e-09
1977,-3.71755959349684e-10,4.46192416347913e-10,-2.95585778076202e-12,1.7713546185405e-09,1.10685505205765e-09,9.28253029996995e-11,1.25962174024608e-09,-2.28908447752474e-10,3.78548747903551e-09,2.64731170318555e-09,4.96856955578551e-08,1.17454703740805e-08,6.19916136201937e-08,3.48813955497462e-08,9.93809408100788e-08,"December",-3.81623976863921e-09
1978,3.68800101568922e-10,-1.82808435056359e-10,-4.03588273911737e-11,-8.66293703438714e-11,-1.71212377608754e-10,-1.35912614496192e-10,5.49675860384014e-10,3.30260263581295e-10,1.06643938124762e-09,9.61108526098542e-10,-2.52384779741988e-11,1.14459908218123e-09,1.42335920827463e-09,2.88116552837892e-09,5.34055288881063e-09,"January",2.22189555643126e-09
1978,-3.54930307366885e-10,1.37418965096003e-10,7.96944732428528e-11,5.18980414199177e-11,8.6174622992985e-11,1.66494373843307e-10,-2.04920524993213e-11,-2.2157564671943e-10,1.45575995702529e-10,9.40190147957765e-11,8.51173354021739e-09,1.67034386322484e-09,9.74296199274249e-09,5.34691935172305e-09,1.53677319758572e-08,"February",-5.39330358151346e-10
1978,3.1513991416432e-10,-1.26789245769032e-10,-8.86757334228605e-11,-2.99280600302154e-10,-1.25965016195551e-10,-1.79625203600153e-10,-1.07803543869522e-09,7.61701812734827e-11,-2.69648126050015e-09,-2.24088125833077e-09,-3.1491936169914e-08,-8.12343614597921e-09,-3.90914465242531e-08,-2.39629116549622e-08,-6.59529177937657e-08,"March",9.36779542826116e-11
1978,-2.47155185206793e-10,-1.46087586472277e-11,5.60476109967567e-11,-4.91411356051685e-10,-4.05634636990726e-10,1.72633463080274e-10,8.08938693808159e-10,-6.32098817732185e-11,1.55665702550323e-09,1.57206159201451e-09,1.91362232726533e-08,4.93901097797789e-09,2.28710632654838e-08,1.41143345899764e-08,3.98199517803732e-08,"April",-1.021362550091e-09
1978,1.64845914696343e-10,2.79584355666884e-10,8.41282599139959e-12,2.36758523897151e-09,1.50089363160077e-09,-1.47963419294683e-10,1.22565779747674e-09,2.38401298702229e-10,4.16861212215736e-09,2.73485056823120e-09,4.01976194552844e-08,1.05051185528282e-08,5.32372723682784e-08,3.15847046294948e-08,8.5637566371588e-08,"May",2.34649633057415e-09
1978,-9.15179043659009e-11,-5.44645217814832e-10,-8.50377546157688e-11,-4.37228209193563e-09,-2.58910404227208e-09,1.13800524559338e-10,-3.9026133435982e-09,-5.45583134226035e-10,-1.14256408778601e-08,-8.40668690216262e-09,-1.17520357889589e-07,-3.02472926705377e-08,-1.51702352013672e-07,-8.95987568583223e-08,-2.47207026404794e-07,"June",-3.10046743834391e-09
1978,4.5588421926368e-11,7.51100515117287e-10,1.45178091770504e-10,5.83770543016726e-09,3.32465788233094e-09,-7.98081600805745e-11,6.09819039709691e-09,8.85847839526832e-10,1.72887553162582e-08,1.31100250655436e-08,1.81323230208363e-07,4.63393519112287e-08,2.32458205573494e-07,1.36735366140783e-07,3.79496668756474e-07,"July",3.08500602841377e-09
1978,-2.8421709430404e-11,-9.64973878581077e-10,-1.52340362546965e-10,-7.07461822457844e-09,-3.99677446694113e-09,5.48538992006797e-11,-7.87198928264843e-09,-1.18723164632684e-09,-2.20039169107622e-08,-1.68821543411468e-08,-2.30277464652318e-07,-5.90595732319343e-08,-2.94433903036406e-07,-1.74061597135733e-07,-4.8264701035805e-07,"August",-2.75758793577552e-09
