"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data"
1975,"Q3",1929.75190475319,513.354038847748,2461.50282182712,1239.28669551971,3754.15122715554,1020.64106839651,400.550389932944,1428.61015498685,965.849552080177,2441.65479117965,5856.3959887397,624.244062310973,6481.68894438104,1501.2754727261,7985.40149589983,5903.31632769411,"July",2007.97636840701
1975,"Q4",1927.7974990012,517.617950015572,2463.95588756063,1248.00531062077,3761.90020133257,1020.34592269758,404.814305768915,1433.71550576908,975.135096483864,2451.83176166801,5852.47173141679,630.429507080528,6484.50968187506,1517.63086580811,8005.92133943668,5945.43123145999,"October",2099.28881121806
1976,"Q1",1925.84309324921,521.883764502928,2466.40895329414,1256.70312782641,3769.66093825181,1020.0517158711,409.085232231458,1438.82085655132,984.406085482314,2462.01305756095,5847.002497443,636.370251092286,6485.49738458318,1533.21476602198,8023.73104402074,5987.28688830984,"January",2190.6012540291
1976,"Q2",1923.88868749723,526.151835759298,2468.86201902766,1265.37806542339,3777.43591532239,1019.75860962746,413.364420929363,1443.92620733355,993.661952341219,2472.2014038046,5839.83502899436,642.041214224406,6484.46940851814,1547.94707907289,8038.55747166751,6028.88106502304,"April",2281.91369684015
1976,"Q3",1921.93428174524,530.422549499794,2471.31508476117,1274.02825831422,3785.22788522241,1019.46677683905,417.653213158352,1449.03155811579,1002.90252760733,2482.40014977239,5830.83125607635,647.419494073948,6481.26089515572,1561.75429720675,8050.15290570564,6070.22041857729,"July",2373.2261396512
1976,"Q4",1919.97987599326,534.696323942895,2473.76815049469,1282.65210369422,3793.03987890322,1019.17640110854,421.953033633034,1454.13690889803,1012.12807801971,2492.61329685178,5819.87120366006,652.484811117981,6475.72820226795,1574.57089328417,8058.30006789788,6111.32111696503,"October",2464.53858246224
1977,"Q1",1918.02547024128,538.973609860255,2476.2212162282,1291.24830210953,3800.87520620346,1018.88767631385,426.265383076412,1459.24225968027,1021.33933694874,2502.84551678711,5806.85552026038,657.219894969271,6467.75188602032,1586.34053399738,8062.8164777611,6152.20925671001,"January",2555.85102527329
1977,"Q2",1916.0710644893,543.254890408449,2478.67428196172,1299.81589359048,3808.73745393577,1018.60080612851,430.591829660065,1464.3476104625,1030.53752609225,2513.10216052433,5791.70761463245,661.610809519971,6457.23921842892,1597.01710532064,8063.55813032458,6192.92107349014,"April",2647.16346808435
1977,"Q3",1914.11665873733,547.540680715793,2481.12734769524,1308.35428858969,3816.63048133274,1018.3160035164,434.933999301521,1469.45296124474,1039.72436822411,2523.38925738179,5774.3753900718,665.647215194199,6444.12622759741,1606.56554457307,8060.42247339675,6233.50294443605,"July",2738.4759108954
1977,"Q4",1912.16225298535,551.831527203489,2483.58041342877,1316.86329352182,3824.55841277886,1018.0334902002,439.293564863141,1474.55831202698,1048.90209096742,2533.71350453413,5754.83257011559,669.322567336122,6428.3792534212,1614.96247599049,8053.35067359058,6274.01118377222,"October",2829.78835370644
1978,"Q1",1910.20784723338,556.128006624772,2486.03347916229,1325.34313075056,3832.52562778565,1017.75349610311,443.672234315053,1479.66366280922,1058.07342165751,2544.08224689818,5733.07961295113,672.634250322656,6409.99601562818,1622.19664841859,8042.32916653635,6314.51163597985,"January",2921.10079651749
1978,"Q2",1908.25344148142,560.430724811968,2488.48654489582,1333.79445293728,3840.53674820795,1017.47625876406,448.071737957648,1484.76901359146,1067.24157352164,2554.50344766319,5709.14421626845,675.58364778487,6389.00619639985,1628.26917621201,8027.39049494545,6355.07907370959,"April",3012.41323932855
1978,"Q3",1906.29903572946,564.74031512666,2490.93961062935,1342.21835172379,3848.59662273407,1017.20202272664,452.493814820433,1489.8743643737,1076.41022351441,2564.98564982478,5683.08141824266,678.176149975234,6365.47154454419,1633.19358642966,8008.61344524353,6395.79641033377,"July",3103.7256821396
1978,"Q4",1904.3446299775,569.057436614277,2493.39267636288,1350.61636079035,3856.71030872262,1016.93103890261,456.940198381978,1494.97971515594,1085.58348229258,2575.53792922214,5654.9733047094,680.421100082337,6339.48551347704,1636.99567778763,7986.12250151825,6436.75373988689,"October",3195.03812495065
1979,"Q1",1902.39022422554,573.382771870005,2495.84574209641,1358.99045339133,3864.88305149451,1016.6635639112,461.412601776186,1500.08506593819,1094.76585692703,2586.16983969533,5624.92833662287,682.331681965404,6311.17245009308,1639.71319889715,7960.08664274308,6478.04721968921,"January",3286.3505677617
1979,"Q2",1900.43581847359,577.717024628471,2498.29880782995,1367.34303453415,3873.1202612248,1016.39985939566,465.912702670186,1505.19041672043,1103.96220706415,2596.89135109455,5593.0803158939,683.924752454455,6280.68635641512,1641.3953553948,7930.71751645031,6519.77781338892,"April",3377.66301057276
1979,"Q3",1898.48141272165,582.060917095015,2500.75187356349,1375.67692802656,3881.42748761311,1016.14019131905,470.442128015932,1510.29576750267,1113.17769535099,2607.71278097812,5559.58701150065,685.220621991787,6248.20925045448,1642.10215751551,7898.26702881485,6562.04991436848,"July",3468.97545338381
