"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data"
1973,"Q1",1548.2470377269,36.7940628859811,1568.12783550797,23.3035776013901,1502.91856728066,750.254663672354,3.1988839922243,757.608352835501,-36.6398297927689,631.13901233882,-53.0036164693756,10.6165878679104,-36.4963343555655,-6.0550830333093,-28.2720121424445,173.694661825105,"January",1.14805970345697
1973,"Q2",-329.10255652111,-43.0175117947038,-389.182230225533,-105.811802842102,-579.961443036729,-144.834969122778,-2.23752122221737,-144.081997946734,-1.89853612462502,-231.531966931871,98.9946743014061,18.4741315620654,122.617823105465,82.4181482471736,217.533062784329,191.726917554053,"April",-0.164383107588947
1973,"Q3",-982.998150769118,90.7788797668981,-909.431295959042,191.697439717402,-799.156604624147,-414.403619642616,57.4729509375687,-355.103348728968,121.336346966589,-315.040699012898,353.817525457682,28.531057198883,386.76125813647,73.5504691238987,471.026769977955,118.285326704598,"July",-0.476825918634859
1973,"Q4",204.444254982874,-16.8188198552726,170.263638307449,-73.6316880708505,18.7508094489031,139.287681996885,0.40308966153151,140.355300488797,-23.6062526029159,39.7511575322455,882.131375811632,20.7532561231177,906.562446847131,38.5981047637536,954.105057023804,128.785766004161,"October",0.21073127031741
1974,"Q1",1269.47566073487,12.9283037097949,1264.89457257394,-10.8967748070502,1179.65236750364,616.628891055474,-23.1094221781806,593.020949706562,-83.4690744961364,436.829984520838,-134.953193875313,-16.903648013434,-148.90841435033,-61.1878549800226,-202.906477555543,36.1694642641696,"January",0.898288459269679
1974,"Q2",-345.790933513142,-45.4368633018988,-408.88949315957,-99.9270736128885,-579.630536183276,-169.084051523315,-19.7000085525609,-190.443401075673,-35.9536167363434,-294.84688448276,-292.052982269944,-7.01013250270773,-296.832918592413,22.4849680827645,-268.889052078396,6.42392318644943,"April",-0.414154351776233
1974,"Q3",-980.754527761151,60.4845370723739,-938.079558893079,142.863429146501,-862.507696532913,-416.417218800967,33.6777993891228,-385.558751857907,79.8777757138147,-369.861249568689,248.722473551551,6.44941285751122,256.699230214715,28.1287291052561,288.590094999141,-90.5440714424958,"July",-0.726597162818507
1974,"Q4",211.47987799084,-31.9436657896342,161.578375373411,-58.0410539771208,39.7558876454777,140.2233024721,-15.2216367215909,121.027897359857,-21.4071748355254,39.6998739134765,503.465719966905,-21.9811008829236,482.327107071977,-17.5700761578714,466.870800106428,-155.427337113683,"October",-0.0390399738662381
1975,"Q1",1300.30428374283,17.3573284561222,1299.5563096399,-0.916178100311299,1238.35199962851,515.803412179438,-10.6340621103172,500.042546577623,-55.5287611620764,388.845178163609,-368.727589643528,-39.5972199617653,-408.14330843978,-130.185961532619,-537.808594125982,-266.644068250988,"January",0.64851721508785
1975,"Q2",-171.606310505179,-57.5637094252822,-247.420756093608,-116.166530919953,-420.400808357963,-134.758002829548,-14.9723279708755,-156.004804204612,-13.6493693393622,-221.080009151126,-1232.28944642737,-45.9826734811428,-1278.72374246828,-71.1887018358104,-1350.9104287276,-269.570482718066,"April",-0.663925595958062
1975,"Q3",-965.38290475319,55.4409611522515,-928.33882182712,108.912304480292,-872.787227155539,-438.558068396507,44.8446100670561,-401.131154986848,89.534447919823,-358.791791179652,-539.412988739699,-27.661062310973,-568.123944381044,-90.661472726104,-661.221495899834,-216.229327694106,"July",-0.976368407008522
1975,"Q4",104.064500998799,-53.3949500155724,32.1291124393688,-117.029310620771,-134.839201332571,33.7100773024201,-15.1093057689153,10.046494230917,-27.8760964838644,-60.8107616680099,112.692268583212,-24.1575070805285,86.9263181249416,-44.5818658081137,38.5636605633217,-181.766231459987,"October",-0.288811218057162
1976,"Q1",1374.66090675079,32.1442354970717,1388.12204670586,37.7868721735924,1379.36106174819,609.833284128896,-2.86523223145844,597.284143448681,-34.9860854823138,523.510942439047,-494.598497443001,-24.4302510922856,-521.15138458318,-102.806766021983,-628.978044020741,-94.0108883098428,"January",0.398745970897835
1976,"Q2",-323.534687497229,-84.3828357592979,-426.739019027656,-192.537065423388,-662.47191532239,-180.364609627463,-19.0384209293634,-210.206207333555,-34.5749523412186,-279.393403804599,-626.965028994358,-2.56521422440585,-632.123408518141,5.69192092711,-632.57247166751,-92.3660650230349,"April",0.0863031598510133
1976,"Q3",-946.910281745245,34.2854505002064,-931.582084761172,62.1817416857778,-909.283885222412,-416.219776839052,45.4647868416483,-382.666558115791,92.5034723926698,-320.630149772392,-207.263256076346,14.6975059260524,-195.575895155725,2.22470279325421,-200.489905705643,-101.131418577292,"July",-0.226139651197627
1976,"Q4",595.967124006738,-25.9873239428946,550.887849505313,-38.9561036942248,475.311121096782,279.94359889146,-7.67403363303367,259.263091101972,-1.15907801970991,231.75570314822,619.221796339942,6.86518888201897,622.714797732056,33.900106715827,648.612932102117,-98.9651169650351,"October",0.46141753775737
