"DATE","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","Month","Formatted.Data","Total.Energy.Consumed"
1975,-31969.5892193878,9556.79801785713,-22412.3521335034,-1231.8640714285,-23644.1235000001,-13803.7246190475,9852.86915221085,-3951.84489115638,2041.60013180271,-1908.7073554423,-97199.8503996597,3048.5248112245,-94151.4383724487,-26204.4845867347,-120355.619159864,"May",1975-05-01,-142973.164238095
1975,6809.43143962585,-1677.29703656463,5131.42255867344,2812.35165986387,7944.14781547642,4451.85647193871,-3984.63557142854,468.49374574819,-310.905573129266,156.149223639528,90274.8613784012,134.749381802704,90409.5066011902,12719.4286411565,103129.016215987,"June",1975-06-01,101536.149289965
1975,17202.7697193878,-9486.78943452379,7716.95259523814,-13172.0350280612,-5455.76705017025,4670.01202465992,-3660.92459523813,1008.07193197291,-6432.68473469383,-5423.76196683679,-63215.8764166666,-3075.06725765305,-66290.8552244895,969.674451530586,-65321.6359583335,"July",1975-07-01,-41343.0946726186
1975,-20606.6250867347,18047.6038630952,-2560.07401275515,26736.2480204081,24176.7983937075,-5514.66946853746,9401.59991326535,3887.26556292506,15978.0607423469,19865.1607363946,32163.934832483,4806.55385799319,36970.4362848637,-7651.45851955781,29319.7220340138,"August",1975-08-01,6042.64027721057
1975,9766.58845153066,-19108.6002763605,-9341.15180527206,-35308.8424455782,-44650.0742585034,1444.55395578235,-10682.1602083334,-9237.2677032312,-24757.4590671768,-33994.8689719389,-3268.64944983,-5299.45731037416,-8567.78639370732,1761.31620068026,-6807.33818537424,"September",1975-09-01,7942.49295748314
1975,-1590.40645493206,13314.0738222789,11723.1539396258,35723.2507491496,47445.6805382653,889.659034863906,7736.17666411568,8625.18427380945,29426.1387823128,38051.2554540817,-25240.3521947278,5048.25960884355,-20193.0123630953,14372.1316284014,-5820.04065221089,"October",1975-10-01,-25941.099614796
1975,899.911923469501,-6018.92988180268,-5118.76557653059,-30828.370715136,-35945.8778996599,-1270.17208928568,-2864.92109013607,-4134.49202465982,-27199.4076743196,-31333.3547670069,50035.0320612245,-4086.97826190478,45949.5358392857,-29519.0887763606,16429.6359829932,"November",1975-11-01,49664.7718954083
1975,-3163.37829166678,1574.39585629247,-1589.22935119048,24108.2738384354,22517.9420875851,1946.02684863943,-1721.71524404762,223.909533163254,17572.5009982993,17795.4527687076,-58795.7041130954,1928.5415926871,-56868.7733690475,33258.6152950681,-23609.2665739796,"December",1975-12-01,-60013.0555561226
1976,7511.11391071439,518.379061224528,8029.9932312925,-15862.9603129252,-7832.63450000004,-681.598962585015,5303.17367517009,4621.78823384353,-4059.85843877549,563.068565476106,38822.7591624152,1382.74985969387,40206.7887661564,-26069.9700629252,14135.8033316326,"January",1976-01-01,45652.2741105444
1976,-17107.454494898,-2932.29171088438,-20040.5973282312,5442.41259778919,-14597.6054761905,-6455.35805782314,-8064.77697023811,-14520.1875705782,-7830.74497789115,-22352.0024328231,10579.1319115644,-4592.7876164966,5985.54299319734,16297.9614515306,22284.5838443878,"February",1976-02-01,-12983.6806411565
1976,32576.5322755103,6154.59274489798,38732.1874166666,6602.67492687067,45333.6489090136,18418.446037415,9800.52426360546,28218.8419906463,15397.7665246598,43617.4388494897,-71417.2254608843,6010.93545833335,-65405.7935603741,-8557.40987925166,-73964.3087933674,"March",1976-03-01,-20422.2471479593
1976,-50063.4111726191,-7830.88602551023,-57895.2935340135,-19178.7522193877,-77072.6030595239,-28884.3951760204,-9588.81298894558,-38472.884082483,-20349.9377134353,-58823.4321037414,113809.909688776,-4934.72912414968,108874.684798469,-572.698843537523,108303.125914116,"April",1976-04-01,34862.1033401364
1976,61444.4177806123,4484.27301785717,65929.4168664966,28836.3439285714,94764.4475000001,31334.7493809523,6475.89615221088,37810.2391088436,24635.5681318027,62446.4096445577,-111282.43339966,2187.29681122451,-109094.380372449,15869.3774132654,-93226.1061598641,"May",1976-05-01,-18503.2662380957
1976,-54576.9775603741,5393.56896343535,-49183.8454413265,-29155.102340136,-78338.045184524,-22541.1715280611,-626.786571428567,-23167.7402542517,-26400.9465731292,-49569.4757763604,54754.6103784015,608.982381802703,55362.5116011903,-35855.2423588437,19508.1532159866,"June",1976-06-01,-22363.5387100335
1976,22194.4947193877,-18025.1004345238,4169.62859523806,17429.3599719388,21598.6769498301,3773.66702465975,-5926.9205952381,-2153.0480680272,22130.2242653061,19978.1040331632,35616.7685833333,-2230.48725765304,33387.4467755103,52212.1894515307,85599.1140416663,"July",1976-07-01,61584.9303273804
1976,23050.9859132653,25981.4408630952,49032.3519872449,-126.991979591825,48905.0173937073,17399.1955314627,10212.1729132653,27610.7675629252,-11972.5222576531,15637.4427363947,-112827.728167517,2566.10485799318,-110262.457715136,-56245.7265195578,-166507.999965986,"August",1976-08-01,-72377.5467227885
1976,-52911.3535484694,-24747.8482763605,-77659.3538052721,-11774.7414455783,-89433.1412585033,-29684.8850442178,-10467.6002083334,-40151.7177032313,1167.31193282314,-38983.9879719389,134193.61555017,-2345.01131037413,131848.869606292,46636.6122006802,178485.470814626,"September",1976-09-01,51597.3769574824
1976,52246.714545068,16461.8958222789,68709.0989396258,11984.3327491497,80692.0265382653,28082.617034864,7338.98266411568,35420.8052738096,4062.27778231292,39483.1594540817,-95366.269194728,2252.69360884351,-93113.3943630951,-30503.7763715986,-123617.111652211,"October",1976-10-01,-15036.9376147954
1976,-33567.9200765306,-6959.28288180273,-40528.0295765305,-2608.56471513609,-43135.0278996599,-18764.8460892857,-2983.93809013609,-21747.8970246599,-1244.16567431973,-22992.6087670069,29800.5750612247,-2266.64426190473,27533.5758392855,16979.0732236394,44512.3459829933,"November",1976-11-01,-22532.1911045922
1976,17779.7657083333,421.726856292516,18202.4676488094,-10022.7761615646,8178.31308758505,10749.5478486395,-865.311244047592,9883.18453316331,-7865.32600170065,2018.74876870759,19705.6498869045,1695.78259268705,21401.8456309525,-11246.7307049319,10155.6964260204,"December",1976-12-01,48234.9634438777
1977,-14041.5450892856,2514.2570612245,-11528.1517687074,20619.6556870748,9092.43049999997,-7603.98296258502,3840.91167517005,-3761.9867661565,19715.8955612244,15952.9025654761,-29591.7108375846,-2.43114030610434,-29594.6872338436,13472.8759370748,-16122.4086683675,"January",1977-01-01,-51237.2388894558
1977,22552.6825051019,-2805.61371088436,19747.7136717687,-25830.1114022109,-6082.79747619046,9587.54394217686,-6164.19297023809,3422.5194294218,-30227.5859778911,-26804.200432823,8255.84191156422,-2317.81761649661,5938.75299319733,-20062.2235484693,-14123.3391556121,"February",1977-02-01,40396.0683588434
1977,-42492.9677244896,1587.06174489797,-40906.4175833334,24718.8479268708,-16187.6160909864,-17649.714962585,7650.87926360545,-9998.49400935376,35499.1575246598,25500.0758494897,16749.442539116,4124.14145833333,20872.7924396257,26050.3861207483,46923.8682066325,"March",1977-03-01,-43393.240147959
1977,70437.8158273807,134.107974489789,70572.3694659865,-19598.9612193878,50973.7959404761,31554.5058239796,-7597.68898894559,23957.052917517,-33656.2887134353,-9698.89910374139,-27661.6043112247,-4955.66812414966,-32616.6242015305,-28849.1018435374,-61467.1600858842,"April",1977-04-01,74330.7173401358
1977,-97811.5342193875,-2908.07198214285,-100719.882133504,12217.4069285715,-88503.1514999999,-46693.4346190476,5132.5611522109,-41561.6538911564,25307.3601318027,-16254.4733554422,28148.5286003402,5205.62881122448,33353.7556275509,29652.7104132654,63008.2238401358,"May",1977-05-01,-116356.440238095
1977,112431.964439626,8143.49096343536,120575.458558674,-1373.74034013612,119202.609815476,54403.7874719388,-108.427571428589,54296.5547457482,-12109.9805731292,42186.6552236395,-25218.7056215986,-4882.78161819727,-30101.2693988095,-29740.5163588436,-59843.4877840133,"June",1977-06-01,141617.046289966
1977,-101307.411280612,-14101.4564345238,-115408.753404762,-11209.9530280611,-126619.60105017,-45951.0989753401,-5806.20959523809,-51758.6750680271,-3103.36173469391,-54862.0449668368,13933.6145833333,3276.12874234692,17209.5667755102,27291.3884515307,44502.5020416662,"July",1977-07-01,-133324.895672619
1977,59080.3999132652,16083.3218630952,75163.8139872452,18212.2090204081,93376.5923937076,19904.2605314626,9835.49391326531,29740.9475629251,15658.3927423469,45399.3187363947,7884.18883248299,-336.297142006772,7548.15928486401,-20779.686519558,-13233.004965986,"August",1977-08-01,86868.8492772109
1977,-110.982548469336,-12298.9522763605,-12410.3748052724,-15222.4474455782,-27632.8142585035,12361.9279557824,-10523.8672083334,1837.39829676872,-21620.9670671769,-19783.5799719389,-21929.7914498299,-2634.87331037419,-24565.1033937077,12804.8692006804,-11758.7491853745,"September",1977-09-01,-9678.84604251714
1977,-45434.025454932,6148.82982227887,-39284.5510603739,7059.50874914963,-32225.6124617346,-32877.7739651361,8685.76866411568,-24192.0847261904,20988.0457823129,-3203.96254591823,6932.82280527205,4373.12660884357,11306.5586369051,-6311.68537159882,4993.41334778928,"October",1977-10-01,-71378.9766147957
1977,56137.1959234694,-1564.58188180267,54571.9174234692,-1335.84871513608,53236.9101003401,32413.1379107144,-5737.8750901361,26676.0069753401,-16375.3916743197,10300.4982329931,30016.8390612246,-4732.49926190479,25283.6338392853,241.847223639615,25526.7399829931,"November",1977-11-01,118567.172895408
1977,-36816.7952916666,-1283.06814370754,-38099.0433511904,-1064.26916156456,-39164.0519124149,-17494.9541513606,2079.47575595241,-15416.5314668367,9151.54899829935,-6264.87223129246,-57211.1101130954,3816.31959268709,-53394.0913690472,6532.95429506792,-46861.9075739794,"December",1977-12-01,-111522.859556122
1978,8815.75491071419,4306.69006122454,13121.2942312925,4923.73668707474,18045.4404999998,1291.12703741504,2404.36167517006,3696.42923384349,1055.26556122447,4751.61156547613,52376.0531624153,-1437.85314030611,50937.6427661561,-10606.8810629251,40330.8143316324,"January",1978-01-01,62482.9351105439
1978,11235.0885051022,-7434.92771088439,3801.76567176872,-11860.1824022108,-8058.48747619023,8652.64494217683,-7007.2839702381,1644.76042942179,-13200.7739778912,-11555.9394328231,-22960.2260884358,-1844.61161649662,-24804.6260068024,7770.60345153063,-17033.396155612,"February",1978-02-01,-3072.49264115634
1978,-20289.76072449,8806.08474489799,-11485.6835833333,18470.3669268707,6984.53690901333,-12191.852962585,10205.0612636055,-1986.48100935375,23571.9205246599,21585.3468494897,-3966.0954608837,4514.55345833337,548.798439625578,1325.82712074829,1873.65320663252,"March",1978-03-01,-36447.7091479591
