"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data","Total.Energy.Consumed"
1973,"Q1",-360.951739795918,-960.52175,-1321.47277040816,-1633.87046428572,-2955.34447959184,-188.308295918368,-412.370943877551,-600.676928571429,-570.700943877553,-1171.37478571429,-1943.5673010204,-151.336280612245,-2094.89684693877,-144.29956632653,-2239.20426530612,-438.151505102039,"January",1973-01-01,-2492.82733673469
1973,"Q2",165.717163265306,892.152892857143,1057.86079081633,1508.77675510204,2566.6434744898,91.2977602040826,321.065005102041,412.36281122449,407.893454081634,820.251382653062,3519.40879081632,144.085484693878,3663.49577040817,113.991785714285,3777.48884183673,329.232137755099,"April",1973-04-01,3776.42371428572
1973,"Q3",-380.542096938776,-847.731903061225,-1228.25814795918,-1425.00216836735,-2653.26645918367,-99.6463571428587,-155.198668367347,-254.84737755102,-41.8482193877551,-296.690397959183,-2708.34433163265,-35.8582500000003,-2744.20629591837,99.8362397959193,-2644.36753061224,-324.263392857144,"July",1973-07-01,-3188.53278571429
1973,"Q4",804.787673469388,1008.46676020408,1813.24112755102,1764.04187755102,3577.28546428571,264.511892857144,276.186607142857,540.703494897959,275.893709183673,816.588801020408,-22.1591581632674,17.6730459183674,-4.48662755101759,-114.142459183674,-118.628045918367,357.060760204087,"October",1973-10-01,1047.14040816327
1974,"Q1",-556.821739795918,-1091.54775,-1648.36377040816,-2036.99546428572,-3685.36147959183,-341.587295918368,-436.625943877551,-778.219928571428,-710.916943877551,-1489.12678571429,189.012698979595,-61.1622806122448,127.853153061222,-76.5455663265309,51.3007346938739,-253.394505102046,"January",1974-01-01,-709.396336734699
1974,"Q2",233.138163265306,890.318892857142,1123.45679081633,1747.37975510204,2870.84047448979,518.344760204083,259.861005102041,778.21081122449,463.410454081632,1241.61738265306,1271.62879081632,2.32648469387755,1273.95377040816,81.0647857142858,1355.02984183674,209.235137755106,"April",1974-04-01,2023.11171428572
1974,"Q3",-902.836096938777,-747.488903061224,-1650.32914795918,-1445.30816836735,-3095.63845918367,-869.800357142859,-49.3866683673469,-919.190377551021,-4.0212193877544,-923.212397959185,271.406668367352,98.6187499999999,370.026704081633,121.012239795918,491.027469387753,-234.822392857145,"July",1974-07-01,-1501.22978571429
1974,"Q4",1564.71467346939,901.587760204082,2466.30912755102,1719.08987755102,4185.39346428571,856.755892857143,194.471607142857,1051.22949489796,255.061709183673,1306.28980102041,-2345.35915816327,-33.8539540816325,-2379.21362755102,-8.20245918367323,-2387.41104591837,104.543760204081,"October",1974-10-01,76.1114081632622
1975,"Q1",-626.483739795919,-968.28075,-1594.76977040816,-1891.10746428572,-3485.86847959184,-192.479295918367,-368.740943877551,-561.219928571429,-667.834943877551,-1229.05378571428,424.611698979596,-108.753280612245,315.858153061221,-348.155566326531,-32.2962653061204,71.6524948979622,"January",1975-01-01,-394.35133673469
1975,"Q2",-748.010836734692,683.691892857143,-64.314209183673,1281.83275510204,1217.5104744898,-419.571239795918,185.454005102041,-234.117188775511,305.178454081633,71.0663826530595,2248.11779081632,69.4894846938777,2317.60277040817,267.852785714286,2585.45584183674,-235.374862244899,"April",1975-04-01,1080.53571428571
1975,"Q3",614.522903061222,-491.884903061224,122.632852040816,-752.336168367347,-629.695459183676,303.055642857142,24.8283316326528,327.88262244898,241.438780612245,569.309602040817,-1797.99333163265,32.9067499999995,-1765.07729591837,59.9152397959181,-1705.16653061225,186.931607142854,"July",1975-07-01,-880.414785714289
1975,"Q4",666.314673469391,772.103760204082,1438.41912755102,1312.06187755102,2750.47246428572,257.363892857144,144.066607142857,401.431494897959,55.7097091836737,457.155801020408,577.241841836732,25.397045918368,602.632372448985,23.4965408163271,626.133954081638,73.3117602040866,"October",1975-10-01,1500.92040816327
1976,"Q1",-1492.57073979592,-1043.93875,-2536.50477040816,-2061.83746428572,-4598.33247959184,-687.243295918368,-364.984943877551,-1052.23092857143,-649.006943877552,-1701.24878571429,-2033.72530102041,-126.750280612246,-2160.47484693879,-385.264566326531,-2545.74126530613,-79.953505102043,"January",1976-01-01,-4213.5393367347
1976,"Q2",608.119163265307,753.074892857143,1361.19079081633,1573.89475510204,2935.0744744898,560.796760204083,203.318005102041,764.12181122449,439.638454081634,1203.76238265306,4427.91279081633,105.897484693878,4533.81477040818,504.291785714286,5038.10384183674,-21.4198622448976,"April",1976-04-01,5596.82871428572
