Contiguous U.S. December Average Temperature,,
Units: Degrees Fahrenheit,,
Base Period: 1973-2020,,
Missing: -99,,
Date,Value,Anomaly
199506,67.55,-1.69
199507,73.54,-0.64
199508,74.32,1.63
199509,64.69,-0.79
199510,54.45,0.17
199511,42.04,-0.64
199512,33.42,-0.25
199601,29.7,-1.69
199602,35.69,0.65
199603,39.02,-4.15
199604,50.65,-1.02
199605,60.98,0.23
199606,69.87,0.63
199607,73.63,-0.55
199608,72.43,-0.26
199609,63.46,-2.02
199610,53.65,-0.63
199611,39.63,-3.05
199612,33.91,0.24
199701,29.95,-1.44
199702,36.05,1.01
199703,44.67,1.5
199704,47.91,-3.76
199705,59.4,-1.35
199706,68.31,-0.93
199707,73.18,-1
199708,71.74,-0.95
199709,66.42,0.94
199710,53.92,-0.36
199711,40.87,-1.81
199712,34,0.33
199801,34.99,3.6
199802,38.71,3.67
199803,41.34,-1.83
199804,51.06,-0.61
199805,62.47,1.72
199806,68.13,-1.11
199807,75.49,1.31
199808,74.03,1.34
199809,68.99,3.51
199810,55.13,0.85
199811,44.91,2.23
199812,35.55,1.88
199901,33.78,2.39
199902,39.49,4.45
199903,42.8,-0.37
199904,51.55,-0.12
199905,60.06,-0.69
199906,68.31,-0.93
199907,74.3,0.12
199908,72.91,0.22
199909,64.35,-1.13
199910,54.75,0.47
199911,48.11,5.43
199912,36.1,2.43
200001,33.57,2.18
200002,39.78,4.74
200003,46.04,2.87
200004,52.59,0.92
200005,63.14,2.39
200006,69.03,-0.21
200007,73.87,-0.31
200008,74.05,1.36
200009,65.57,0.09
200010,55.09,0.81
200011,38.03,-4.65
200012,28.44,-5.23
200101,31.35,-0.04
200102,33.98,-1.06
200103,41.49,-1.68
200104,53.08,1.41
200105,62.82,2.07
200106,69.24,0
200107,74.48,0.3
200108,74.3,1.61
200109,65.7,0.22
200110,54.37,0.09
200111,47.41,4.73
200112,36.12,2.45
200201,34.48,3.09
200202,36.39,1.35
200203,39.54,-3.63
200204,53.49,1.82
200205,59.29,-1.46
200206,70.86,1.62
200207,75.85,1.67
200208,72.86,0.17
200209,66.85,1.37
